;BOLOCAM BEAM POSITIONS ON THE SKY
;
;bolometer    distance      angle     rms/sqrt(n_points)
     0         1.00000     300.000     0.0190
     1         2.00000     300.000     0.0423
     2         1.73205     330.000     0.0151
     3         3.00000     300.000     0.0000
     4         2.64575     319.107     0.0000
     5         2.64575     340.893     0.0234
     6         4.00000     300.000     0.0150
     7         3.60555     313.898     0.0337
     8         3.46410     330.000     0.0000
     9         3.60555     346.102     0.0157
    10         5.00000     300.000     0.0000
    11         4.58258     310.893     0.0297
    12         4.35890     323.413     0.0126
    13         4.35890     336.587     0.0142
    14         4.58258     349.107     0.0237
    15         6.00000     300.000     0.0236
    16         5.56776     308.948     0.0175
    17         5.29150     319.107     0.0253
    18         5.19615     330.000     0.0037
    19         5.29150     340.893     0.0341
    20         5.56776     351.052     0.0193
    21         6.08276     325.285     0.0000
    22         6.08276     334.715     0.0138
    23         6.24500     343.898     0.0000
    24         1.00000     240.000     0.0226
    25         2.00000     240.000     0.0256
    26         1.73205     270.000     0.0441
    27         3.00000     240.000     0.0000
    28         2.64575     259.107     0.0275
    29         2.64575     280.893     0.0384
    30         4.00000     240.000     0.0247
    31         3.60555     253.898     0.0163
    32         3.46410     270.000     0.0188
    33         3.60555     286.102     0.0390
    34         5.00000     240.000     0.0352
    35         4.58258     250.893     0.0000
    36         4.35890     263.413     0.0105
    37         4.35890     276.587     0.0218
    38         4.58258     289.107     0.0298
    39         6.00000     240.000     0.0533
    40         5.56776     248.948     0.0384
    41         5.29150     259.107     0.0248
    42         5.19615     270.000     0.0207
    43         5.29150     280.893     0.0241
    44         5.56776     291.052     0.0063
    45         6.08276     265.285     0.0000
    46         6.08276     274.715     0.0156
    47         6.24500     283.898     0.0162
    48         1.00000     180.000     0.0242
    49         2.00000     180.000     0.0163
    50         1.73205     210.000     0.0270
    51         3.00000     180.000     0.0216
    52         2.64575     199.107     0.0332
    53         2.64575     220.893     0.0000
    54         4.00000     180.000     0.0000
    55         3.60555     193.898     0.0506
    56         3.46410     210.000     0.0000
    57         3.60555     226.102     0.0378
    58         5.00000     180.000     0.0000
    59         4.58258     190.893     0.0000
    60         4.35890     203.413     0.0000
    61         4.35890     216.587     0.0415
    62         4.58258     229.107     0.0581
    63         6.00000     180.000     0.0000
    64         5.56776     188.948     0.0217
    65         5.29150     199.107     0.0540
    66         5.19615     210.000     0.0663
    67         5.29150     220.893     0.0611
    68         5.56776     231.052     0.0000
    69         6.08276     205.285     0.0000
    70         6.08276     214.715     0.0634
    71         6.24500     223.898     0.0000
    72         1.00000     120.000     0.0281
    73         2.00000     120.000     0.0391
    74         1.73205     150.000     0.0095
    75         3.00000     120.000     0.0368
    76         2.64575     139.107     0.0135
    77         2.64575     160.893     0.0197
    78         4.00000     120.000     0.0689
    79         3.60555     133.898     0.0209
    80         3.46410     150.000     0.0337
    81         3.60555     166.102     0.0000
    82         5.00000     120.000     0.0499
    83         4.58258     130.893     0.0451
    84         4.35890     143.413     0.0185
    85         4.35890     156.587     0.0077
    86         4.58258     169.107     0.0268
    87         6.00000     120.000     0.0269
    88         5.56776     128.948     0.0357
    89         5.29150     139.107     0.0085
    90         5.19615     150.000     0.0125
    91         5.29150     160.893     0.0212
    92         5.56776     171.052     0.0311
    93         6.08276     145.285     0.0000
    94         6.08276     154.715     0.0185
    95         6.24500     163.898     0.0325
    96         1.00000     60.0000     0.0147
    97         2.00000     60.0000     0.0000
    98         1.73205     90.0000     0.0000
    99         3.00000     60.0000     0.0000
   100         2.64575     79.1066     0.0348
   101         2.64575     100.893     0.0448
   102         4.00000     60.0000     0.0169
   103         3.60555     73.8979     0.0438
   104         3.46410     90.0000     0.0000
   105         3.60555     106.102     0.0000
   106         5.00000     60.0000     0.0119
   107         4.58258     70.8934     0.0000
   108         4.35890     83.4132     0.0373
   109         4.35890     96.5868     0.0000
   110         4.58258     109.107     0.0253
   111         0.00000     0.00000     0.0000
   112         5.56776     68.9483     0.0000
   113         5.29150     79.1066     0.0282
   114         5.19615     90.0000     0.0161
   115         5.29150     100.893     0.0000
   116         5.56776     111.052     0.0393
   117         6.08276     85.2850     0.0000
   118         6.08276     94.7150     0.0306
   119         6.24500     103.898     0.0458
   120         1.00000     0.00000     0.0077
   121         2.00000     0.00000     0.0382
   122         1.73205     30.0000     0.0115
   123         3.00000     0.00000     0.0330
   124         2.64575     19.1066     0.0000
   125         2.64575     40.8934     0.0231
   126         4.00000     0.00000     0.0158
   127         3.60555     13.8979     0.0259
   128         3.46410     30.0000     0.0232
   129         3.60555     46.1021     0.0132
   130         5.00000     0.00000     0.0013
   131         4.58258     10.8934     0.0087
   132         4.35890     23.4132     0.0261
   133         4.35890     36.5868     0.0139
   134         4.58258     49.1066     0.0179
   135         6.00000     0.00000     0.0139
   136         5.56776     8.94827     0.0173
   137         5.29150     19.1066     0.0104
   138         5.19615     30.0000     0.0138
   139         5.29150     40.8934     0.0188
   140         5.56776     51.0517     0.0095
   141         6.08276     25.2850     0.0000
   142         6.08276     34.7150     0.0000
   143         6.24500     43.8979     0.0164
