;BOLOCAM BEAM POSITIONS ON THE SKY
;
;bolometer    distance      angle     rms/sqrt(n_points)
     0         0.9421      -46.5084     0.3171
     1         1.8305      -47.5799     0.6411
     2         1.6270      -17.4030     0.5267
     3         0.0000        0.0000     0.0000
     4         0.0000        0.0000     0.0000
     5         2.4370       -5.7967     0.7936
     6         3.6181      -47.3153     1.2203
     7         3.2635      -33.3591     1.0742
     8         0.0000        0.0000     0.0000
     9         3.3085       -0.5956     1.0343
    10         4.5092      -46.9875     1.5097
    11         4.1459      -35.9169     1.3731
    12         3.9498      -23.4978     1.2863
    13         3.9776       -9.8693     1.2604
    14         4.2379        2.5001     1.2917
    15         5.4411      -46.7749     1.7783
    16         5.0324      -37.9825     1.6554
    17         4.8008      -28.0593     1.5541
    18         4.6968      -16.8460     1.4901
    19         4.8519       -5.9307     1.5022
    20         5.1261        4.3348     1.5500
    21         0.0000        0.0000     0.0000
    22         0.0000        0.0000     0.0000
    23         0.0000        0.0000     0.0000
    24         0.9688     -108.2448     0.3344
    25         1.9183     -107.9514     0.6275
    26         1.6426      -78.4169     0.5595
    27         0.0000        0.0000     0.0000
    28         2.4577      -89.3857     0.8258
    29         2.4259      -66.1150     0.8454
    30         3.6693     -107.6310     1.2302
    31         0.0000        0.0000     0.0000
    32         3.1378      -77.5757     1.0787
    33         3.2759      -61.2394     1.1113
    34         4.5850     -107.3344     1.5472
    35         0.0000        0.0000     0.0000
    36         3.9421      -83.7000     1.3363
    37         3.9568      -70.6523     1.3354
    38         4.1375      -58.0986     1.3832
    39         5.5241     -107.2962     1.9162
    40         5.0552      -98.3959     1.7542
    41         4.8214      -88.1228     1.6574
    42         4.7205      -77.0714     1.6151
    43         4.7803      -66.0435     1.6160
    44         5.0509      -55.9406     1.6844
    45         0.0000        0.0000     0.0000
    46         5.5104      -72.2130     1.8806
    47         5.6632      -63.1747     1.8877
    48         0.9650     -168.0117     0.2916
    49         1.8852     -166.8740     0.6143
    50         1.6925     -137.8355     0.5656
    51         2.7352     -167.2918     0.9122
    52         2.4672     -148.2786     0.8361
    53         0.0000        0.0000     0.0000
    54         0.0000        0.0000     0.0000
    55         0.0000        0.0000     0.0000
    56         0.0000        0.0000     0.0000
    57         3.3331     -120.9876     1.1241
    58         0.0000        0.0000     0.0000
    59         0.0000        0.0000     0.0000
    60         0.0000        0.0000     0.0000
    61         4.0139     -130.5654     1.3410
    62         4.2137     -118.0422     1.4227
    63         0.0000        0.0000     0.0000
    64         5.0789     -157.4234     1.8070
    65         4.8284     -147.4769     1.6930
    66         4.7618     -136.8520     1.6459
    67         4.8699     -125.7975     1.6681
    68         0.0000        0.0000     0.0000
    69         0.0000        0.0000     0.0000
    70         5.5895     -131.8646     1.9530
    71         0.0000        0.0000     0.0000
    72         0.9511      130.1314     0.3291
    73         1.8364      131.4190     0.6281
    74         1.6185      162.6918     0.5689
    75         2.6876      131.3372     0.9482
    76         2.3897      151.5856     0.7995
    77         2.4001      173.5134     0.8152
    78         3.5534      131.0499     1.2499
    79         3.1996      145.6392     1.1274
    80         3.0856      162.5885     1.0933
    81         0.0000        0.0000     0.0000
    82         4.4508      130.8785     1.5598
    83         4.0710      142.4451     1.4390
    84         3.8651      155.7822     1.3789
    85         3.8825      169.5444     1.3957
    86         4.1104     -177.3656     1.4609
    87         5.3738      130.7377     1.9014
    88         4.9673      140.2052     1.7596
    89         4.7207      151.0692     1.6657
    90         4.6425      162.3893     1.6562
    91         4.7427      173.8922     1.6915
    92         5.0113     -175.5459     1.7987
    93         0.0000        0.0000     0.0000
    94         5.4325      167.3330     1.9788
    95         5.6375      177.0149     2.0516
    96         0.0000        0.0000     0.0000
    97         0.0000        0.0000     0.0000
    98         0.0000        0.0000     0.0000
    99         0.0000        0.0000     0.0000
   100         2.4518       89.8887     0.8112
   101         2.4111      111.7132     0.8402
   102         3.7466       70.8984     1.1721
   103         3.3165       84.5052     1.0626
   104         0.0000        0.0000     0.0000
   105         0.0000        0.0000     0.0000
   106         4.6971       70.5519     1.4412
   107         0.0000        0.0000     0.0000
   108         4.0208       93.3157     1.3042
   109         0.0000        0.0000     0.0000
   110         4.0955      119.7604     1.4272
   111         0.0000        0.0000     0.0000
   112         0.0000        0.0000     0.0000
   113         4.9100       88.8462     1.5674
   114         4.7437      100.0627     1.5649
   115         0.0000        0.0000     0.0000
   116         5.0006      121.3643     1.7396
   117         0.0000        0.0000     0.0000
   118         5.5364      104.8148     1.8274
   119         5.6646      113.9501     1.9348
   120         0.9936       13.7843     0.3099
   121         1.8712       13.1736     0.5748
   122         1.6516       41.5097     0.5184
   123         2.7845       13.3332     0.8779
   124         0.0000        0.0000     0.0000
   125         2.4783       52.5081     0.7635
   126         3.7148       13.2305     1.1240
   127         3.3373       26.7200     1.0357
   128         3.2333       41.8216     0.9833
   129         3.3712       56.9008     1.0365
   130         4.6426       12.9396     1.3936
   131         4.2859       23.5809     1.2784
   132         4.1006       35.4957     1.2183
   133         4.0809       48.1406     1.2031
   134         4.2972       59.9961     1.2879
   135         5.5728       13.2324     1.6243
   136         5.2029       21.7677     1.5401
   137         4.9845       31.5476     1.4475
   138         4.9079       42.1045     1.4119
   139         4.9814       52.2482     1.4498
   140         5.2168       61.7532     1.5558
   141         0.0000        0.0000     0.0000
   142         0.0000        0.0000     0.0000
   143         0.0000        0.0000     0.0000
