;BOLOCAM BEAM POSITIONS ON THE SKY
;
;bolometer    distance      angle     rms/sqrt(n_points)
     0         1.0123      -60.4544     0.0190
     1         1.9738      -59.2260     0.0423
     2         1.6881      -30.8319     0.0151
     3         0.0000        0.0000     0.0000
     4         0.0000        0.0000     0.0000
     5         2.5049      -18.6517     0.0234
     6         3.7462      -58.4698     0.0150
     7         3.4192      -44.9820     0.0337
     8         0.0000        0.0000     0.0000
     9         3.4173      -12.7171     0.0157
    10         0.0000        0.0000     0.0000
    11         4.2896      -47.3414     0.0297
    12         4.0857      -34.8326     0.0126
    13         4.1137      -21.4136     0.0142
    14         4.3228       -9.0035     0.0237
    15         5.6467      -57.5112     0.0236
    16         5.2392      -48.5371     0.0175
    17         4.9950      -38.6788     0.0253
    18         4.9173      -27.8501     0.0037
    19         4.9940      -17.0458     0.0341
    20         5.2565       -6.7185     0.0193
    21         0.0000        0.0000     0.0000
    22         5.7603      -22.9181     0.0138
    23         0.0000        0.0000     0.0000
    24         1.0046     -119.5193     0.0226
    25         1.9807     -119.9684     0.0256
    26         1.7233      -89.5632     0.0441
    27         0.0000        0.0000     0.0000
    28         2.5600     -100.9544     0.0275
    29         2.5593      -78.7964     0.0384
    30         3.8563     -118.6852     0.0247
    31         3.4662     -105.3465     0.0163
    32         3.3175      -89.1064     0.0188
    33         3.4138      -72.8836     0.0390
    34         4.7928     -118.7119     0.0352
    35         0.0000        0.0000     0.0000
    36         4.1926      -95.2177     0.0105
    37         4.1314      -82.4149     0.0218
    38         4.2940      -69.2222     0.0298
    39         5.7656     -118.3191     0.0533
    40         5.3508     -109.3931     0.0384
    41         5.0673      -99.4143     0.0248
    42         4.9727      -88.4603     0.0207
    43         5.0195      -77.2200     0.0241
    44         5.2357      -66.6763     0.0063
    45         0.0000        0.0000     0.0000
    46         5.7632      -83.2823     0.0156
    47         5.9416      -73.4107     0.0162
    48         1.0029      179.1758     0.0242
    49         1.9306      179.9128     0.0163
    50         1.7115     -148.8220     0.0270
    51         2.8512     -179.7023     0.0216
    52         2.5486     -161.1271     0.0332
    53         0.0000        0.0000     0.0000
    54         0.0000        0.0000     0.0000
    55         3.4188     -165.6709     0.0506
    56         0.0000        0.0000     0.0000
    57         3.4456     -132.8194     0.0378
    58         0.0000        0.0000     0.0000
    59         0.0000        0.0000     0.0000
    60         0.0000        0.0000     0.0000
    61         4.1685     -142.0250     0.0415
    62         4.4026     -129.7397     0.0581
    63         0.0000        0.0000     0.0000
    64         5.3158     -170.6712     0.0217
    65         5.0611     -160.1268     0.0540
    66         4.9872     -148.5601     0.0663
    67         5.1032     -137.6803     0.0611
    68         0.0000        0.0000     0.0000
    69         0.0000        0.0000     0.0000
    70         5.8466     -143.8336     0.0634
    71         0.0000        0.0000     0.0000
    72         1.0239      118.1555     0.0281
    73         1.9268      119.0588     0.0391
    74         1.6946      149.2278     0.0095
    75         2.8460      118.4123     0.0368
    76         2.4728      138.4315     0.0135
    77         2.4848      160.3920     0.0197
    78         3.7944      117.4140     0.0689
    79         3.3866      131.8169     0.0209
    80         3.2528      149.0070     0.0337
    81         0.0000        0.0000     0.0000
    82         4.7476      117.6357     0.0499
    83         4.3395      128.6001     0.0451
    84         4.0833      141.8225     0.0185
    85         4.0754      155.4750     0.0077
    86         4.3115      168.5576     0.0268
    87         5.6848      116.9835     0.0269
    88         5.2778      126.3005     0.0357
    89         5.0065      137.1902     0.0085
    90         4.9030      148.3796     0.0125
    91         4.9959      159.7265     0.0212
    92         5.2853      170.1041     0.0311
    93         0.0000        0.0000     0.0000
    94         5.7287      153.2277     0.0185
    95         5.9171      162.5580     0.0325
    96         1.0094       60.3085     0.0147
    97         0.0000        0.0000     0.0000
    98         0.0000        0.0000     0.0000
    99         0.0000        0.0000     0.0000
   100         2.5810       77.7159     0.0348
   101         2.5631       99.3294     0.0448
   102         3.9011       58.6168     0.0169
   103         3.4771       71.6752     0.0438
   104         0.0000        0.0000     0.0000
   105         0.0000        0.0000     0.0000
   106         4.8820       57.9948     0.0119
   107         0.0000        0.0000     0.0000
   108         4.1870       80.6492     0.0373
   109         0.0000        0.0000     0.0000
   110         4.3754      106.2680     0.0253
   111         0.0000        0.0000     0.0000
   112         0.0000        0.0000     0.0000
   113         5.1368       75.6324     0.0282
   114         4.9704       86.6409     0.0161
   115         0.0000        0.0000     0.0000
   116         5.2996      107.5353     0.0393
   117         0.0000        0.0000     0.0000
   118         5.8350       90.6914     0.0306
   119         5.9299       99.6998     0.0458
   120         0.9633        0.0440     0.0077
   121         1.9118        0.6994     0.0382
   122         1.6829       31.6652     0.0115
   123         2.8449        1.1157     0.0330
   124         0.0000        0.0000     0.0000
   125         2.5800       41.1725     0.0231
   126         3.7863        1.2290     0.0158
   127         3.4353       14.7146     0.0259
   128         3.3285       30.2411     0.0232
   129         3.4654       45.3190     0.0132
   130         4.7234        1.6903     0.0013
   131         4.3817       11.9109     0.0087
   132         4.1974       24.1028     0.0261
   133         4.2041       36.2222     0.0139
   134         4.4694       47.7637     0.0179
   135         5.7175        1.7668     0.0139
   136         5.3380       10.5026     0.0173
   137         5.1000       20.0014     0.0104
   138         5.0137       30.0079     0.0138
   139         5.1530       39.7828     0.0188
   140         5.4394       49.4058     0.0095
   141         0.0000        0.0000     0.0000
   142         0.0000        0.0000     0.0000
   143         6.0854       42.8999     0.0164
