;BOLOCAM BEAM POSITIONS ON THE SKY
;
;bolometer    distance      angle     rms_error
     0         0.9899      -60.2256     0.0248
     1         1.9524      -59.3617     0.0271
     2         1.6944      -29.3254     0.0255
     3         0.0000        0.0000     0.0000
     4         0.0000        0.0000     0.0000
     5         2.5671      -18.1658     0.0263
     6         3.7933      -59.0987     0.0364
     7         3.4084      -45.1003     0.0340
     8         0.0000        0.0000     0.0000
     9         3.4484      -12.9252     0.0421
    10         4.7550      -58.4747     0.0527
    11         4.3443      -47.8164     0.0467
    12         4.1373      -35.1230     0.0380
    13         4.1528      -21.7040     0.0477
    14         4.4299       -9.3927     0.0472
    15         5.7147      -58.0503     0.0654
    16         5.2787      -49.3353     0.0406
    17         5.0319      -39.1856     0.0442
    18         4.9629      -28.0831     0.0346
    19         5.0765      -17.4483     0.0650
    20         5.3692       -7.7008     0.0610
    21         0.0000        0.0000     0.0000
    22         5.8147      -22.8712     0.0258
    23         0.0000        0.0000     0.0000
    24         1.0433     -121.0428     0.0258
    25         2.0493     -120.3554     0.0318
    26         1.7396      -90.7101     0.0262
    27         0.0000        0.0000     0.0000
    28         2.5956     -101.5646     0.0274
    29         2.5568      -79.2124     0.0359
    30         3.9083     -119.5613     0.0412
    31         3.5191     -106.3206     0.0412
    32         3.3497      -90.4734     0.0431
    33         3.4512      -73.5465     0.0381
    34         4.8913     -119.4056     0.0424
    35         0.0000        0.0000     0.0000
    36         4.2235      -96.5649     0.0425
    37         4.1794      -82.6225     0.0481
    38         4.3716      -70.0224     0.0319
    39         5.8932     -119.2928     0.0586
    40         5.3960     -110.4155     0.0487
    41         5.1138     -100.2447     0.0495
    42         5.0136      -89.0530     0.0407
    43         5.0883      -77.8226     0.0471
    44         5.3146      -67.5316     0.0471
    45         0.0000        0.0000     0.0000
    46         5.8403      -83.6747     0.0465
    47         5.9966      -74.1570     0.0542
    48         1.0227     -179.0925     0.0291
    49         1.9758     -179.5072     0.0293
    50         1.7791     -149.0255     0.0268
    51         2.9140     -179.5484     0.0465
    52         2.6362     -159.9411     0.0457
    53         0.0000        0.0000     0.0000
    54         0.0000        0.0000     0.0000
    55         3.5278     -165.5421     0.0360
    56         0.0000        0.0000     0.0000
    57         3.5625     -133.3885     0.0435
    58         0.0000        0.0000     0.0000
    59         0.0000        0.0000     0.0000
    60         0.0000        0.0000     0.0000
    61         4.2910     -142.7732     0.0397
    62         4.5141     -130.4004     0.0569
    63         0.0000        0.0000     0.0000
    64         5.4135     -170.6679     0.0709
    65         5.1913     -160.3276     0.0637
    66         5.1279     -149.5288     0.0701
    67         5.2241     -138.5163     0.0524
    68         0.0000        0.0000     0.0000
    69         0.0000        0.0000     0.0000
    70         6.0080     -144.6012     0.0662
    71         0.0000        0.0000     0.0000
    72         1.0001      117.5588     0.0259
    73         1.9296      118.1811     0.0361
    74         1.6951      149.9009     0.0415
    75         2.8725      117.6934     0.0364
    76         2.5220      138.1228     0.0455
    77         2.5680      160.7710     0.0425
    78         3.8134      117.1189     0.0571
    79         3.4149      131.9229     0.0456
    80         3.3043      148.8896     0.0426
    81         0.0000        0.0000     0.0000
    82         4.7661      116.6478     0.0631
    83         4.3533      128.2248     0.0497
    84         4.1329      141.9701     0.0447
    85         4.1415      155.7116     0.0639
    86         4.3872      168.8491     0.0680
    87         5.7211      116.3930     0.0626
    88         5.3045      125.7782     0.0519
    89         5.0259      136.5806     0.0592
    90         4.9435      148.4985     0.0598
    91         5.0424      160.0937     0.0594
    92         5.3592      170.6741     0.0689
    93         0.0000        0.0000     0.0000
    94         5.8011      153.3160     0.0775
    95         5.9904      162.8832     0.0582
    96         1.0310       58.2344     0.0264
    97         0.0000        0.0000     0.0000
    98         0.0000        0.0000     0.0000
    99         0.0000        0.0000     0.0000
   100         2.6004       76.1358     0.0381
   101         2.5587       98.2108     0.0632
   102         3.9361       57.9211     0.0375
   103         3.5028       70.8336     0.0384
   104         0.0000        0.0000     0.0000
   105         0.0000        0.0000     0.0000
   106         4.9398       57.3306     0.0493
   107         0.0000        0.0000     0.0000
   108         4.2194       79.9226     0.0616
   109         4.1903       93.0031     0.0771
   110         4.4015      105.6181     0.0663
   111         0.0000        0.0000     0.0000
   112         0.0000        0.0000     0.0000
   113         5.1660       75.4091     0.0442
   114         5.0491       86.1317     0.0776
; Edited this by hand
;   115         4.5623       95.0473     0.0866
   115         0.0000        0.0000     0.0000
   116         5.3436      107.0967     0.0767
   117         0.0000        0.0000     0.0000
   118         5.8900       89.9944     0.1034
   119         5.9430       98.9528     0.0489
   120         1.0210        1.0738     0.0280
   121         1.9842        0.5587     0.0284
   122         1.7540       29.9338     0.0333
   123         2.9108        0.6811     0.0297
   124         0.0000        0.0000     0.0000
   125         2.6144       40.3292     0.0466
   126         3.8673        0.7443     0.0275
   127         3.5012       14.1976     0.0509
   128         3.3983       29.3622     0.0389
   129         3.5303       44.3684     0.0594
   130         4.8608        1.1351     0.0327
   131         4.4649       11.5112     0.0508
   132         4.2663       23.4683     0.0676
   133         4.2893       35.7553     0.0504
   134         4.5204       47.3590     0.0488
   135         5.8003        1.3016     0.0591
   136         5.4235        9.7777     0.0524
   137         5.1988       19.3232     0.0618
   138         5.1405       29.4486     0.0498
   139         5.2373       39.5335     0.0592
   140         5.5124       48.8708     0.0665
   141         0.0000        0.0000     0.0000
   142         0.0000        0.0000     0.0000
   143         6.1857       42.1010     0.0645
