;BOLOCAM BEAM POSITIONS ON THE SKY
;
;bolometer    distance      angle     rms_error
     0         1.0106      -59.3664     0.0291
     1         1.9367      -58.8229     0.0363
     2         1.7268      -28.5633     0.0299
     3         0.0000        0.0000     0.0000
     4         0.0000        0.0000     0.0000
     5         0.0000        0.0000     0.0000
     6         3.8101      -58.1628     0.0425
     7         3.4628      -43.9026     0.0483
     8         0.0000        0.0000     0.0000
     9         0.0000        0.0000     0.0000
    10         4.7853      -57.4364     0.0613
    11         0.0000        0.0000     0.0000
    12         4.2196      -33.6681     0.0615
    13         4.2887      -20.6877     0.0721
    14         0.0000        0.0000     0.0000
    15         0.0000        0.0000     0.0000
    16         5.3690      -47.6693     0.0761
    17         5.1239      -37.6959     0.0684
    18         5.0899      -26.5024     0.0795
    19         5.2561      -15.8420     0.0679
    20         5.5473       -6.5991     0.0787
    21         0.0000        0.0000     0.0000
    22         6.0239      -21.4821     0.0819
    23         0.0000        0.0000     0.0000
    24         1.0470     -120.6826     0.0288
    25         2.0286     -121.2557     0.0341
    26         1.7269      -90.0605     0.0431
    27         0.0000        0.0000     0.0000
    28         2.6051     -101.5329     0.0518
    29         2.5527      -78.0201     0.0471
    30         3.9120     -120.1634     0.0788
    31         3.5022     -106.3665     0.0504
    32         3.3309      -90.0278     0.0559
    33         3.4370      -72.0512     0.0415
    34         4.9254     -119.9732     0.0765
    35         0.0000        0.0000     0.0000
    36         4.2149      -96.3627     0.0618
    37         0.0000        0.0000     0.0000
    38         4.3932      -68.6307     0.0526
    39         5.8960     -119.7836     0.1238
    40         5.4566     -110.9030     0.0820
    41         5.1269     -100.3497     0.0861
    42         4.9704      -89.0329     0.0396
    43         5.0761      -77.4350     0.0589
    44         0.0000        0.0000     0.0000
    45         0.0000        0.0000     0.0000
    46         5.8375      -83.9351     0.0714
    47         5.9839      -73.7010     0.0836
    48         1.0250     -178.8022     0.0216
    49         0.0000        0.0000     0.0000
    50         1.7815     -150.3791     0.0416
    51         0.0000        0.0000     0.0000
    52         2.6343     -160.6311     0.0505
    53         0.0000        0.0000     0.0000
    54         0.0000        0.0000     0.0000
    55         0.0000        0.0000     0.0000
    56         0.0000        0.0000     0.0000
    57         3.5554     -134.0608     0.0557
    58         0.0000        0.0000     0.0000
    59         0.0000        0.0000     0.0000
    60         0.0000        0.0000     0.0000
    61         0.0000        0.0000     0.0000
    62         0.0000        0.0000     0.0000
    63         0.0000        0.0000     0.0000
    64         0.0000        0.0000     0.0000
    65         0.0000        0.0000     0.0000
    66         0.0000        0.0000     0.0000
    67         5.2202     -138.9940     0.1085
    68         0.0000        0.0000     0.0000
    69         0.0000        0.0000     0.0000
    70         6.0495     -144.9228     0.1197
    71         0.0000        0.0000     0.0000
    72         0.9887      118.1248     0.0338
    73         0.0000        0.0000     0.0000
    74         1.6833      150.5723     0.0321
    75         0.0000        0.0000     0.0000
    76         0.0000        0.0000     0.0000
    77         0.0000        0.0000     0.0000
    78         3.7179      117.2846     0.0605
    79         3.3585      132.6419     0.0447
    80         3.3095      150.2296     0.0420
    81         0.0000        0.0000     0.0000
    82         4.6529      116.8758     0.0672
    83         4.2662      129.0845     0.0616
    84         0.0000        0.0000     0.0000
    85         4.1379      156.2692     0.0800
    86         4.4300      169.0945     0.0870
    87         5.6020      116.5055     0.0799
    88         0.0000        0.0000     0.0000
    89         5.0013      137.8221     0.0624
    90         4.9241      149.1299     0.0780
    91         5.0634      160.4415     0.0888
    92         5.3692      170.8635     0.0889
    93         0.0000        0.0000     0.0000
    94         0.0000        0.0000     0.0000
    95         5.9795      163.1044     0.0957
    96         1.0216       56.7401     0.0221
    97         0.0000        0.0000     0.0000
    98         0.0000        0.0000     0.0000
    99         0.0000        0.0000     0.0000
   100         2.5724       75.0515     0.0554
   101         0.0000        0.0000     0.0000
   102         3.9581       56.2770     0.0692
   103         3.4640       69.9750     0.0750
   104         0.0000        0.0000     0.0000
   105         0.0000        0.0000     0.0000
   106         4.9691       55.7887     0.0869
   107         0.0000        0.0000     0.0000
   108         4.1463       79.1213     0.0805
   109         4.1096       92.2889     0.0730
   110         4.2698      105.8423     0.0742
   111         0.0000        0.0000     0.0000
   112         0.0000        0.0000     0.0000
   113         5.1021       74.0883     0.0739
   114         4.9189       85.5651     0.0883
   115         4.9728       96.4080     0.0749
   116         5.1944      107.5050     0.0818
   117         0.0000        0.0000     0.0000
   118         5.7577       89.9283     0.0972
   119         5.8593       99.1880     0.0874
   120         0.0000        0.0000     0.0000
   121         0.0000        0.0000     0.0000
   122         0.0000        0.0000     0.0000
   123         3.0021        1.0018     0.0671
   124         2.6773       18.7291     0.0612
   125         2.6607       38.6607     0.0661
   126         0.0000        0.0000     0.0000
   127         3.6612       14.2100     0.0777
   128         3.5293       28.6609     0.0630
   129         0.0000        0.0000     0.0000
   130         5.0171        1.5692     0.0774
   131         4.6347       11.6351     0.0753
   132         4.4228       22.9494     0.0764
   133         0.0000        0.0000     0.0000
   134         4.6095       46.0141     0.0796
   135         0.0000        0.0000     0.0000
   136         5.6591       10.0405     0.0823
   137         5.3853       19.0387     0.0840
   138         5.2829       28.6506     0.0915
   139         0.0000        0.0000     0.0000
   140         5.5754       47.5672     0.0929
   141         0.0000        0.0000     0.0000
   142         0.0000        0.0000     0.0000
   143         0.0000        0.0000     0.0000
