;BOLOCAM BEAM POSITIONS ON THE SKY
;
;bolometer    distance      angle     rms_error
     0         0.9886      -60.5568     0.0449
     1         1.9518      -59.8272     0.0892
     2         1.7226      -28.3914     0.0404
     3         2.8329      -58.6754     0.0691
     4         0.0000        0.0000     0.0000
     5         2.6201      -17.4866     0.0571
     6         3.7524      -58.1749     0.0805
     7         3.4258      -43.7708     0.0541
     8         0.0000        0.0000     0.0000
     9         3.5472      -12.3262     0.0663
    10         4.7281      -57.5441     0.0865
    11         4.3651      -46.5616     0.0678
    12         4.1856      -34.3301     0.0729
    13         4.2391      -21.4917     0.0580
    14         4.5207       -9.1679     0.0769
    15         5.6818      -56.9149     0.0964
    16         5.3200      -48.2331     0.0892
    17         5.0701      -37.8567     0.1032
    18         5.0216      -27.3487     0.0785
    19         5.1627      -16.9050     0.0750
    20         5.4787       -7.1124     0.0611
    21         0.0000        0.0000     0.0000
    22         5.8941      -22.5549     0.0921
    23         0.0000        0.0000     0.0000
    24         1.0264     -122.3959     0.0365
    25         2.0186     -121.1548     0.0405
    26         1.6896      -90.9949     0.0417
    27         0.0000        0.0000     0.0000
    28         2.5420     -101.7167     0.0422
    29         2.5143      -78.8553     0.0670
    30         3.8599     -120.4169     0.0862
    31         3.4386     -106.7989     0.0626
    32         3.2666      -89.7634     0.0818
    33         3.3852      -72.9174     0.0797
    34         4.8197     -120.1646     0.0957
    35         0.0000        0.0000     0.0000
    36         4.1188      -96.2549     0.0723
    37         4.1077      -82.3172     0.0753
    38         4.3049      -69.1286     0.0912
    39         5.7743     -119.5022     0.0986
    40         5.3265     -110.5448     0.1062
    41         5.0107     -100.2504     0.0976
    42         4.9052      -88.6083     0.0868
    43         4.9764      -77.0400     0.0883
    44         5.2480      -66.4386     0.1115
    45         0.0000        0.0000     0.0000
    46         5.7252      -83.0791     0.1080
    47         5.8653      -73.5397     0.1009
    48         1.0533     -179.1421     0.0322
    49         2.0135     -178.8296     0.0326
    50         1.7877     -150.1292     0.0422
    51         2.9483     -179.2188     0.0624
    52         2.6705     -160.6935     0.0525
    53         0.0000        0.0000     0.0000
    54         0.0000        0.0000     0.0000
    55         3.5518     -165.6158     0.0482
    56         0.0000        0.0000     0.0000
    57         3.5448     -134.1625     0.0648
    58         0.0000        0.0000     0.0000
    59         0.0000        0.0000     0.0000
    60         0.0000        0.0000     0.0000
    61         5.1977     -160.8965     0.0639
    62         4.4403     -131.4448     0.0891
    63         0.0000        0.0000     0.0000
    64         5.4622     -170.4521     0.0756
    65         5.2078     -160.5837     0.0734
    66         5.1190     -149.7816     0.0670
    67         5.1776     -139.1532     0.0668
    68         0.0000        0.0000     0.0000
    69         0.0000        0.0000     0.0000
    70         5.9679     -145.0530     0.0754
    71         0.0000        0.0000     0.0000
    72         0.9879      120.2473     0.0421
    73         1.8962      119.1528     0.0579
    74         1.7047      150.9067     0.0483
    75         2.8202      118.8315     0.0557
    76         2.5222      139.4150     0.0430
    77         2.5827      161.8064     0.0476
    78         3.7408      118.0729     0.0840
    79         3.3811      133.1264     0.0570
    80         3.2943      150.0073     0.0725
    81         0.0000        0.0000     0.0000
    82         4.6880      117.5985     0.0881
    83         4.3094      129.6948     0.0775
    84         4.1244      143.0470     0.0759
    85         4.1548      156.7924     0.0625
    86         4.4219      169.3903     0.0823
    87         5.6422      117.0508     0.1018
    88         5.2573      126.9201     0.0869
    89         4.9997      138.1455     0.0834
    90         4.9392      149.4639     0.1058
    91         5.0867      161.0057     0.0856
    92         5.4014      171.1985     0.0886
    93         0.0000        0.0000     0.0000
    94         5.8387      154.3223     0.0888
    95         6.0176      163.7496     0.1042
    96         1.0173       58.4569     0.0403
    97         0.0000        0.0000     0.0000
    98         0.0000        0.0000     0.0000
    99         0.0000        0.0000     0.0000
   100         2.5638       75.5235     0.0522
   101         2.4982       98.4350     0.0583
   102         3.9122       56.2933     0.0906
   103         3.4868       70.0683     0.0673
   104         0.0000        0.0000     0.0000
   105         0.0000        0.0000     0.0000
   106         4.9363       56.1043     0.0890
   107         0.0000        0.0000     0.0000
   108         4.1709       79.1121     0.0762
   109         4.1134       93.0398     0.0713
   110         4.2951      106.0069     0.0780
   111         0.0000        0.0000     0.0000
   112         0.0000        0.0000     0.0000
   113         5.1058       74.5482     0.0923
   114         4.9734       85.3079     0.0933
   115         4.4900       94.8626     0.0914
   116         5.2404      107.7698     0.0871
   117         0.0000        0.0000     0.0000
   118         5.8123       89.7863     0.1196
   119         5.8459       99.6714     0.1213
   120         1.0462        1.4636     0.0373
   121         2.0285        0.8912     0.0482
   122         1.7906       28.9437     0.0393
   123         2.9988        0.8193     0.0666
   124         2.6744       18.6148     0.0565
   125         2.6492       38.6822     0.0497
   126         4.0011        0.8949     0.0508
   127         3.6185       13.7291     0.0717
   128         3.4943       28.4661     0.0518
   129         3.5897       43.0919     0.0579
   130         4.9627        0.9912     0.0822
   131         4.6166       10.9451     0.0680
   132         4.3951       22.3661     0.0741
   133         4.3689       34.2526     0.0947
   134         4.5719       45.8862     0.0905
   135         5.9466        1.1408     0.0909
   136         5.5639        9.4394     0.0887
   137         5.3361       18.4336     0.0360
   138         5.2638       28.0591     0.0380
   139         5.3272       37.9422     0.0933
   140         5.5712       47.2221     0.0994
   141         0.0000        0.0000     0.0000
   142         0.0000        0.0000     0.0000
   143         6.2986       40.3477     0.1179
