;BOLOCAM BEAM POSITIONS ON THE SKY
;
;bolometer    distance      angle     rms_error
     0         1.0205      -60.2604     0.0284
     1         1.9249      -58.8775     0.0386
     2         1.7228      -29.2363     0.0346
     3         2.8376      -58.7956     0.0557
     4         0.0000        0.0000     0.0000
     5         2.5527      -17.6772     0.0447
     6         3.6922      -58.2227     0.0758
     7         3.3751      -44.4742     0.0754
     8         0.0000        0.0000     0.0000
     9         3.4588      -12.1678     0.0517
    10         4.5762      -57.6006     0.0823
    11         4.2307      -46.5182     0.0853
    12         4.0591      -34.2489     0.0794
    13         4.0916      -21.2452     0.0817
    14         4.3545       -8.9097     0.0910
    15         5.5028      -57.2574     0.1008
    16         5.1286      -48.2791     0.0950
    17         4.9031      -38.1389     0.0843
    18         4.8458      -27.3658     0.0860
    19         4.9528      -16.7060     0.0825
    20         5.2701       -6.8903     0.0966
    21         0.0000        0.0000     0.0000
    22         5.7053      -22.8090     0.1077
    23         0.0000        0.0000     0.0000
    24         1.0471     -121.1348     0.0404
    25         2.0144     -120.5250     0.0415
    26         1.7024      -90.8084     0.0363
    27         0.0000        0.0000     0.0000
    28         2.5424     -101.7487     0.0525
    29         2.5159      -78.6954     0.0520
    30         3.7738     -120.1667     0.0705
    31         3.3900     -105.9304     0.0574
    32         3.2538      -89.4559     0.0554
    33         3.3458      -72.9421     0.0646
    34         4.6280     -119.8026     0.1008
    35         4.2399     -108.3167     0.0789
    36         4.0156      -95.8410     0.0691
    37         4.0019      -82.4347     0.0714
    38         4.2098      -68.8834     0.0898
    39         5.5383     -118.9987     0.1065
    40         5.1148     -109.9346     0.0981
    41         4.8638      -99.6704     0.0887
    42         4.7611      -88.2525     0.0864
    43         4.8396      -77.1516     0.0969
    44         5.0895      -66.6266     0.0944
    45         0.0000        0.0000     0.0000
    46         5.5587      -83.0226     0.0943
    47         5.7187      -73.4961     0.1124
    48         1.0520     -179.2894     0.0260
    49         1.9947     -179.5855     0.0349
    50         1.7893     -150.0749     0.0399
    51         2.9059     -179.7396     0.0582
    52         2.6184     -160.2542     0.0562
    53         0.0000        0.0000     0.0000
    54         0.0000        0.0000     0.0000
    55         3.4491     -165.3597     0.0634
    56         0.0000        0.0000     0.0000
    57         3.4256     -133.8751     0.0675
    58         0.0000        0.0000     0.0000
    59         0.0000        0.0000     0.0000
    60         0.0000        0.0000     0.0000
    61         4.1063     -143.4539     0.1107
    62         4.3180     -130.6402     0.0796
    63         0.0000        0.0000     0.0000
    64         5.1715     -170.7932     0.0769
    65         4.9652     -160.4505     0.0929
    66         4.8657     -149.9259     0.0921
    67         4.9369     -138.5511     0.1081
    68         0.0000        0.0000     0.0000
    69         0.0000        0.0000     0.0000
    70         5.6532     -144.8343     0.1138
    71         0.0000        0.0000     0.0000
    72         0.9976      120.3237     0.0350
    73         1.9398      118.9112     0.0384
    74         1.7148      150.5663     0.0513
    75         2.8311      118.5869     0.0480
    76         2.5304      138.6940     0.0453
    77         2.5531      161.1542     0.0466
    78         3.6811      118.1796     0.0640
    79         3.3606      132.8091     0.0507
    80         3.2625      149.5273     0.0518
    81         0.0000        0.0000     0.0000
    82         4.5733      117.4388     0.0773
    83         4.1862      129.4912     0.0662
    84         4.0118      142.2398     0.0739
    85         4.0422      156.0259     0.0711
    86         4.2646      169.1375     0.0668
    87         5.4679      116.9100     0.0895
    88         5.0741      126.5797     0.0757
    89         4.8311      137.5759     0.0724
    90         4.7365      148.8580     0.0743
    91         4.8401      160.2954     0.0745
    92         5.1326      170.8932     0.0782
    93         0.0000        0.0000     0.0000
    94         5.5708      153.6987     0.0852
    95         5.7581      162.9421     0.1144
    96         1.0175       58.7228     0.0331
    97         0.0000        0.0000     0.0000
    98         0.0000        0.0000     0.0000
    99         0.0000        0.0000     0.0000
   100         2.5730       76.2246     0.0634
   101         2.5220       98.3872     0.0598
   102         3.8400       57.2400     0.0709
   103         3.4353       70.5268     0.0724
   104         0.0000        0.0000     0.0000
   105         0.0000        0.0000     0.0000
   106         4.7627       56.6891     0.0840
   107         0.0000        0.0000     0.0000
   108         4.0950       79.8924     0.0769
   109         4.0416       92.9749     0.0725
   110         4.2031      106.0590     0.0718
   111         0.0000        0.0000     0.0000
   112         5.2371       64.3808     0.1031
   113         4.9966       75.1777     0.0927
   114         4.8379       85.8082     0.0898
   115         4.8672       97.1714     0.0947
   116         5.0887      107.7956     0.0817
   117         0.0000        0.0000     0.0000
   118         5.6317       90.2370     0.0973
   119         5.7372       99.6271     0.1277
   120         1.0346        0.5393     0.0289
   121         2.0125        0.6103     0.0331
   122         1.7664       29.2431     0.0384
   123         2.9135        0.9689     0.0395
   124         2.6263       19.5302     0.0535
   125         2.6100       39.4620     0.0552
   126         3.8308        1.0720     0.0690
   127         3.5068       14.3583     0.0646
   128         3.3746       29.3311     0.0690
   129         3.5096       44.2434     0.0721
   130         4.7436        1.1825     0.0791
   131         4.3859       11.5874     0.0738
   132         4.2084       23.2018     0.0714
   133         4.2236       35.1803     0.0787
   134         4.4112       46.8197     0.0758
   135         5.7245        1.5720     0.1081
   136         5.3152        9.9620     0.0858
   137         5.0918       19.1216     0.0831
   138         5.0028       29.1956     0.0832
   139         0.0000        0.0000     0.0000
   140         5.3709       48.2755     0.0902
   141         0.0000        0.0000     0.0000
   142         0.0000        0.0000     0.0000
   143         6.1038       41.7962     0.1263
