;Y-INTERCEPT AND SLOPE OF SCANS_OFFSET VS. UT TIME
;
;date    min_obs    max_obs     intercept    sigma_int      slope       sigma_slo     chisq      n_obs    chisq/DOF
 40203      0        1000        72.8301       0.2577       -4.8921        0.0218      0.6212      29      0.0214
 40204      0        1000        56.0378       0.2238       -4.8554        0.0255      0.2002      15      0.0133
 40205      0        1000        79.9729      14.6887       -3.9253        1.0279      0.0822       4      0.0206
 40207      0        1000        43.6608       0.1667       -4.8436        0.0115      0.4214      28      0.0150
 40209      0        1000         9.1513       0.1526       -4.8365        0.0129      0.5746      27      0.0213
 40210      0        1000       -55.0052      15.6392        3.5003        1.2340    ********      14     80.1495
 40211      0        1000      -132.7313       8.1141        4.1806        0.6596    ********      31    132.6271
 40212      0        1000       -77.9653      11.8739       11.8389        0.9353    ********      41    353.0966
 40213      0        1000      -147.1045      41.0598       17.2258        3.8901    ********      27    ********
 40214      0        1000        78.0224       0.3606       -4.9022        0.0272      0.4065      14      0.0290
 40215      0        1000        25.9475       0.4459       -4.9092        0.0352      0.4569      13      0.0351
 40216      0        1000        46.8089       0.0927       -4.7902        0.0081      2.6463      74      0.0358
 40217      0        1000        61.2361       3.4195       -5.7908        0.2290      0.3794      10      0.0379
 40218      0        1000        40.4484       0.2386       -4.9076        0.0170      1.7180      32      0.0537
 40219      0        1000        47.0729       0.1868       -4.9018        0.0147      0.7237      20      0.0362
 40220      0        1000        49.3749       0.1186       -4.9635        0.0104      2.6621      54      0.0493
 40221      0        1000        52.0364       0.1265       -4.8638        0.0119      2.5705      62      0.0415
 40222      0        1000        45.8881       0.0895       -4.9062        0.0072      1.3117      62      0.0212
 40223      0        1000        42.1379       0.0893       -4.8939        0.0071      2.2322      58      0.0385
 40224      0        1000        44.7967       0.0685       -4.8910        0.0069      1.1476      62      0.0185
 40225      0        1000        10.0736       0.1880       -4.9056        0.0251      0.7571      22      0.0344
 40226      0        1000         9.9540       0.1985       -5.0253        0.0359      0.0054       3      0.0018
 40227      0        1000        14.4249       0.0652       -4.9017        0.0057      3.0120      90      0.0335
 40305      0        1000        80.6873       0.9134       -4.6018        0.1018      0.4438       6      0.0740
 40306      0        1000        84.6626       0.0780       -4.6106        0.0061      0.9600      49      0.0196
 40307      0        1000        81.3774       0.0632       -4.5649        0.0051      1.0475      52      0.0201
