;Y-INTERCEPT AND SLOPE OF SCANS_OFFSET VS. UT TIME
;
;date    min_obs    max_obs     intercept    sigma_int      slope       sigma_slo     chisq      n_obs    chisq/DOF
 40506      0        1000        69.0248       0.1582       -4.7419        0.0148      0.2889      18      0.0161
 40507      0          32        47.3163       0.1144       -4.6811        0.0129      0.3742      30      0.0125
 40507     33        1000        81.6216       0.4436       -4.7505        0.0305      0.0437       8      0.0055
 40508      0          40        51.4483       0.1468       -4.5279        0.0188      1.0215      39      0.0262
 40508     41          47        80.0013       0.4845       -4.5185        0.0419      0.0256       6      0.0043
 40508     48        1000        25.6204       0.0000       -4.7000        0.0000      0.0000       1      0.0000
 40509      0          44        49.5905       0.1161       -4.5271        0.0139      0.8460      44      0.0192
 40509     45          46        80.2607          Inf       -4.4716           Inf      0.0000       2      0.0000
 40509     47        1000        91.7738       1.5818       -4.5744        0.0989      0.0036       3      0.0012
 40510      0          15        49.5025       0.7646       -4.3432        0.1247      0.3237      12      0.0270
 40510     16          26        61.9060       0.8754       -4.6029        0.1137      0.1495      10      0.0149
 40510     27          31      -324.5755       5.5014       -4.3728        0.6322      0.1783       5      0.0357
 40510     32          47       109.4473       6.2177       -8.6871        0.6143     19.5963      14      1.3997
 40510     48        1000        62.6666       7.9394       -3.2480        0.5238     10.7554       6      1.7926
 40511      0        1000       -60.3258       0.1542        1.2117        0.0158      4.6938      50      0.0939
 40512      0        1000        40.0263       0.3050       -4.7384        0.0277      1.4035      31      0.0453
 40513      0        1000        52.1395       0.2098       -4.7247        0.0153      0.4967      22      0.0226
 40514      0        1000        19.9554       0.1083       -4.6987        0.0090      1.2685      45      0.0282
 40515      0          33        17.3811       0.1721       -4.7574        0.0227      1.8978      33      0.0575
 40515     34        1000        57.0335       2.3474       -4.6497        0.1779      0.2680       7      0.0383
 40517      0        1000        51.9455       0.2242       -4.9095        0.0162      1.0315      36      0.0287
 40518      0        1000        74.3295       0.5116       -4.7084        0.0317      0.2380      17      0.0140
 40521      0        1000        44.5402       0.2447       -4.7051        0.0195      0.3590      22      0.0163
 40522      0        1000        17.2861       0.0596       -4.7701        0.0046      2.1120      92      0.0230
 40523      0        1000        19.0001       0.0517       -4.7352        0.0046      3.2023     116      0.0276
 40524      0        1000        11.7434       0.0435       -4.7959        0.0036      2.9400     125      0.0235
 40525      0        1000        20.5234       0.0503       -4.7153        0.0046      2.0850     103      0.0202
 40526      0        1000        19.3236       0.0350       -4.7228        0.0030      2.0941     122      0.0172
 40527      0        1000        16.7377       0.0920       -4.9065        0.0077     14.7039     130      0.1131
 40528      0        1000        24.0261       0.4947       -5.3218        0.0392    140.8078      61      2.3083
 40529      0        1000        18.2935       0.0364       -4.7148        0.0025      0.2010      44      0.0046
 40530      0        1000       -10.0990       0.3597       -4.7725        0.0319     31.7745      46      0.6907
 40531      0        1000        35.4933       0.2438       -4.7669        0.0189      0.8677      24      0.0362
 40601      0        1000        40.4455       0.1256       -4.7315        0.0102      0.4812      34      0.0142
