;Y-INTERCEPT AND SLOPE OF SCANS_OFFSET VS. UT TIME
;
;date    min_obs    max_obs     intercept    sigma_int      slope       sigma_slo     chisq      n_obs    chisq/DOF
 31030      0        1000        -4.1985       0.0749       -4.6892        0.0063      1.1126      63      0.0177
 31031      0        1000         3.7455       0.0930       -4.7720        0.0103      0.1134      21      0.0054
 31101      0        1000        -1.4294       0.0844       -4.7458        0.0070      0.1902      23      0.0083
 31102      0        1000        -0.3969       0.0959       -4.7033        0.0072      3.4375      76      0.0452
 31103      0        1000        16.2060       0.0541       -4.7192        0.0042      0.4670      39      0.0120
 31104      0        1000        22.6619       0.0479       -4.7179        0.0046      0.0195      16      0.0012
 31105      0        1000        27.9217       0.0812       -4.6752        0.0070      1.4725      36      0.0409
 31106      0        1000       -62.1804       0.8752       -4.6783        0.0469      0.4163      14      0.0297
 31107      0        1000        29.7437       0.0711       -4.7208        0.0056      1.0691      26      0.0411
 31108      0        1000        25.6757       0.0681       -4.7095        0.0056      1.7201      54      0.0319
 31109      0        1000         6.0342       0.0971       -4.7047        0.0069      1.1041      52      0.0212
 31110      0        1000        29.9872       0.0474       -4.7519        0.0038      3.1140     109      0.0286
 31111      0        1000        25.3383       0.0585       -4.7138        0.0046      3.4653     101      0.0343
 31112      0        1000      -237.6268       0.0617       -4.7269        0.0052      4.2037      98      0.0429
 31114      0        1000       -51.7206       0.8123       -4.6635        0.0461      2.3915      27      0.0886
 31115      0        1000       -44.7165       1.7991       -5.0756        0.1038      6.8142      24      0.2839
 31117      0        1000       -49.7454       0.4616       -4.7839        0.0254      0.9643      23      0.0419
 31118      0        1000       -49.8601       0.5374       -4.6989        0.0306      0.7531      25      0.0301
 31119      0        1000        23.7457       0.0435       -4.7104        0.0036      2.9957     110      0.0272
 31120      0        1000        23.6331       0.0671       -4.7054        0.0055      6.4550     105      0.0615
 31121      0        1000        25.7757       0.0674       -4.7018        0.0046      1.9596      52      0.0377
 31122      0        1000        26.8913       0.0544       -4.7044        0.0050      2.6485      56      0.0473
 31123      0        1000        27.0856       0.0530       -4.7441        0.0043      4.1590     108      0.0385
 31124      0        1000        28.7898       0.1056       -4.7290        0.0096     16.2062     100      0.1621
 31125      0        1000        29.9678       0.0710       -4.7017        0.0102      1.1688      48      0.0244
 31130      0        1000        26.0912       1.2104       -4.4704        0.3495      0.2343       8      0.0293
 31201      0        1000        23.5006       0.0972       -4.7079        0.0112      1.3044      51      0.0256
 31204      0        1000        18.6420       0.0566       -4.7154        0.0045      2.8166      93      0.0303
 31205      0          53        28.3191       0.1191       -4.6909        0.0202      1.2382      28      0.0442
 31205     54          68        73.4318      10.4867       -5.2775        0.9569      0.1067       4      0.0267
 31205     79        1000        99.4740       5.4527       -4.8492        0.2951      0.0792       4      0.0198
 31206      0        1000        34.9736       0.0647       -4.7224        0.0055      1.1060      49      0.0226
 31207      0        1000        34.5725       0.0601       -4.7520        0.0051      3.4920      98      0.0356
 31208      0        1000        18.7840       0.0550       -4.7186        0.0057      2.4615      85      0.0290
