Name Number Mars1 Mars2
BOLO_A1 0 29.0362 26.8163
BOLO_A2 1 30.1302 27.2139
BOLO_A3 2 27.2514 25.6444
BOLO_A4 3 29.1533 22.71
BOLO_A7 6 28.8799 21.3534
BOLO_A8 7 33.3257 25.6624
BOLO_A10 9 32.5667 23.9582
BOLO_A11 10 32.1403 23.407
BOLO_A12 11 31.6082 24.1986
BOLO_A13 12 29.7212 22.7121
BOLO_A14 13 30.22 22.9296
BOLO_A15 14 49.192 28.7543
BOLO_A16 15 28.4557 20.9474
BOLO_A17 16 29.6798 21.3103
BOLO_A18 17 27.2694 20.7213
BOLO_A19 18 32.4209 24.2374
BOLO_A20 19 29.4328 22.6572
BOLO_A21 20 34.9693 28.4296
BOLO_A24 22 35.3079 25.8538
BOLO_B1 24 29.2283 27.5709
BOLO_B2 25 30.1149 26.5202
BOLO_B3 26 29.5627 26.8935
BOLO_B5 28 29.82 25.3187
BOLO_B6 29 36.5833 24.7072
BOLO_B7 30 33.0204 25.6827
BOLO_B8 31 38.1378 24.7159
BOLO_B9 32 27.1321 22.2917
BOLO_B10 33 28.5351 23.9427
BOLO_B11 34 45.5726 34.6179
BOLO_B12 35 4.29296 1.38935
BOLO_B13 36 39.2938 30.2308
BOLO_B14 37 0.353319 0.074132
BOLO_B15 38 33.4953 25.7675
BOLO_B16 39 32.7272 27.1532
BOLO_B17 40 31.7735 25.4283
BOLO_B18 41 29.8799 24.1714
BOLO_B19 42 35.1909 17.602
BOLO_B20 43 33.1324 24.6658
BOLO_B21 44 -0.40648 0.086944
BOLO_B24 46 34.2808 22.3927
BOLO_B25 47 27.66 19.9941
BOLO_C1 48 34.7673 32.8635
BOLO_C2 49 30.7139 27.3488
BOLO_C3 50 32.0247 27.9891
BOLO_C4 51 30.008 26.5351
BOLO_C5 52 31.7761 28.5578
BOLO_C8 55 0.123454 0.009211
BOLO_C10 57 30.0579 26.8237
BOLO_C14 61 32.4766 26.7929
BOLO_C15 62 92.9757 30.7357
BOLO_C17 64 32.1686 27.2967
BOLO_C18 65 33.4632 27.1834
BOLO_C19 66 54.5709 11.4523
BOLO_C20 67 31.1527 26.2673
BOLO_C24 70 33.0872 27.8334
BOLO_D1 72 32.7558 29.4268
BOLO_D2 73 29.4171 28.4584
BOLO_D3 74 34.4567 32.8003
BOLO_D5 76 32.484 30.4164
BOLO_D6 77 33.7837 30.74
BOLO_D7 78 30.6421 24.5439
BOLO_D8 79 40.7146 24.601
BOLO_D9 80 30.2697 26.775
BOLO_D11 82 34.3581 24.7937
BOLO_D12 83 33.4896 24.5688
BOLO_D14 85 43.5011 26.6414
BOLO_D15 86 40.1678 27.1386
BOLO_D16 87 35.0384 23.3139
BOLO_D17 88 39.5488 33.1392
BOLO_D18 89 35.4624 10.0034
BOLO_D19 90 32.1244 24.1136
BOLO_D20 91 34.3365 27.4077
BOLO_D21 92 31.769 27.2497
BOLO_D24 94 31.6482 24.3787
BOLO_D25 95 34.9743 26.6937
BOLO_E1 96 30.3761 28.5863
BOLO_E3 98 0.004179 0.039262
BOLO_E5 100 31.6285 29.8356
BOLO_E6 101 29.9561 28.0852
BOLO_E7 102 32.396 25.6433
BOLO_E8 103 29.7146 27.3799
BOLO_E11 106 30.6247 23.5334
BOLO_E13 108 35.3305 25.7253
BOLO_E14 109 33.5573 26.4861
BOLO_E15 110 36.7547 27.5152
BOLO_E17 112 34.2785 16.8574
BOLO_E18 113 34.7019 24.1164
BOLO_E19 114 33.9608 24.0775
BOLO_E20 115 30.81 22.5822
BOLO_E21 116 32.1932 24.8662
BOLO_E24 118 39.2277 26.1331
BOLO_E25 119 32.4995 22.832
BOLO_F1 120 31.9565 29.9929
BOLO_F2 121 26.9406 25.1396
BOLO_F3 122 7.22556 6.58368
BOLO_F4 123 33.5038 27.6134
BOLO_F5 124 28.5467 25.4687
BOLO_F6 125 30.6605 27.9875
BOLO_F7 126 28.4136 23.7362
BOLO_F8 127 31.8468 26.754
BOLO_F9 128 29.911 24.3645
BOLO_F10 129 20.7206 15.9339
BOLO_F11 130 28.6777 23.9495
BOLO_F12 131 28.0521 23.1013
BOLO_F13 132 31.5273 26.7968
BOLO_F15 134 31.6804 26.7849
BOLO_F16 135 34.0534 26.5173
BOLO_F17 136 30.5873 24.0827
BOLO_F18 137 27.1972 22.4317
BOLO_F19 138 27.9709 23.3703
BOLO_F20 139 33.3061 27.2183
BOLO_F21 140 30.7866 23.5943
BOLO_F25 143 34.4774 26.1457
