; From Miranda, 2009/04/02
; Filename         -dx           -dy          dra             ddec    dra_err(fitting)   ddec_err(fitting)      Stamp_residual
    gemob1        1.20424      -0.251446     0.00170606    -0.00186144   -8.74591E-07    4.60726E-07      0.0608845
      l006       -1.10122       0.649086    3.07338E-05    -0.00255645   -2.57363E-07    2.46158E-07       0.333686
      l009      0.0672073      -0.257542   -0.000409405    0.000370901   -1.61617E-07    1.55222E-07      0.0734413
      l012      -0.400780       0.390636    0.000311209    -0.00107973   -1.76175E-07    1.90262E-07      0.0557950
      l018       -2.20771       -1.76327    -0.00526796    -0.00226393   -3.62924E-08    4.26479E-08      0.0627448
      l024       -1.25080       0.140289   -0.000902624    -0.00235143   -3.52787E-07    3.38733E-07      0.0518656
      l029      0.0532494      -0.725071    -0.00124488    0.000760141   -1.49763E-07    1.27160E-07      0.0751332
      l030       0.495701      -0.684559   -0.000765491     0.00150790   -1.65643E-07    1.43254E-07       0.135474
      l032      -0.347187       0.671303    0.000877959    -0.00123082   -2.07609E-07    1.90736E-07       0.180737
      l035     -0.0271568      -0.157806   -0.000306241    9.57053E-05   -7.88400E-08    8.48570E-08      0.0390424
      l040      -0.846519      -0.678925    -0.00200316   -0.000880450   -2.82748E-08    3.25496E-08      0.0906851
      l045       -1.34929     -0.0571709    -0.00138878    -0.00233565   -2.35344E-08    2.96473E-08      0.0899688
      l050       -4.02476       -8.16159     -0.0190879    0.000697234   -5.08073E-08    7.24466E-08      0.0319633
      l055       -1.18537      0.0824471    -0.00102234    -0.00216545   -5.42369E-05    4.84348E-05       0.187147
      l065       -3.11262       0.212822    -0.00292468    -0.00562776   -5.76901E-06    5.03954E-06      0.0318031
      l072        1.21825      0.0471611     0.00184275     0.00194789   -9.19517E-07    3.85812E-07       0.126055
      l077       0.733662      -0.246952    0.000541280     0.00148698   -4.27277E-07    2.71975E-07       0.103503
      l079     -0.0514565      -0.136402   -0.000368619    8.03171E-05   -8.34339E-07    8.48063E-07      0.0623233
      l082      -0.425793       0.631237    0.000652226    -0.00144933   -7.58763E-08    6.68788E-08       0.305630
      l086       0.254459       0.879532     0.00237228   -0.000744956   -1.76200E-05    1.43495E-05       0.280724
      l111       -1.61724       0.737385    -0.00482815    -0.00264597   -2.85258E-07    3.67341E-07      0.0740280
      l133      -0.542294       0.788635    -0.00328880    -0.00110129   -1.20992E-07    8.22273E-08      0.0275311
      l351       0.336697      -0.280270   -0.000117941    0.000870658   -4.42718E-05    3.30131E-05       0.121715
      l354       -2.26402      -0.117863    -0.00324176    -0.00365191   -2.13830E-07    2.09721E-07       0.210379
      l357      -0.627993      -0.420240    -0.00168012   -0.000586657   -8.29886E-05    7.51909E-05      0.0214865
  super_gc       -2.72086      -0.569775    -0.00416175    -0.00409868   -4.27228E-09    2.89829E-09      0.0723560
        w5       -1.07765      0.0551910    -0.00397891    0.000888780   -1.94210E-05    1.72015E-05      0.0145259
